id,name,location,borough,image,website,facebook,twitter,foursquare,lat,lng
recreation-center-54-manhattan,Recreation Center 54,,manhattan,,https://www.nycgovparks.org/parks/recreation-center-54,nycparks,nycparks,5TxCzU,40.7566534849174,-73.9650643973489
riverside-park-manhattan,Riverside Park,,manhattan,,https://www.nycgovparks.org/parks/riverside-park,nycparks,nycparks,hcKwL,40.8068094334391,-73.9686512947083
riverside-park-south-manhattan,Riverside Park South,,manhattan,,https://www.nycgovparks.org/parks/riversideparksouth,nycparks,nycparks,608Fdk,40.7783235274796,-73.9891111850739
rochdale-park-queens,Rochdale Park,,queens,,https://www.nycgovparks.org/parks/rochdale-park,nycparks,nycparks,PmxZOJ,40.6749098501149,-73.7742984294891
rockaway-beach-queens,Rockaway Beach,,queens,,https://www.nycgovparks.org/parks/rockaway-beach-and-boardwalk/,nycparks,nycparks,5JB2BQ,40.5831600838963,-73.8167232077641
sara-d-roosevelt-park-manhattan,Sara D. Roosevelt Park,,manhattan,,https://www.nycgovparks.org/parks/sara-d-roosevelt-park,nycparks,nycparks,5hFzow,40.7197241762775,-73.9923890782788
seton-falls-park-bronx,Seton Falls Park,,bronx,,https://www.nycgovparks.org/parks/seton-falls-park,nycparks,nycparks,pcZZvM,40.8884138255166,-73.8401862128973
sol-bloom-playground-manhattan,Sol Bloom Playground,,manhattan,,https://www.nycgovparks.org/parks/sol-bloom-playground,nycparks,nycparks,uOie2o,40.7896796365711,-73.9686287062438
st-catherines-park-manhattan,St. Catherine’s Park,,manhattan,,https://www.nycgovparks.org/parks/st-catherines-park,nycparks,nycparks,ckNHfz,40.765010483126,-73.9584213495255
st-james-park-bronx,St. James Park,,bronx,,https://www.nycgovparks.org/parks/st-james-park,nycparks,nycparks,9kqJq8,40.8653462148464,-73.8983635545996
tremont-park-bronx,Tremont Park,,bronx,,https://www.nycgovparks.org/parks/tremont-park,nycparks,nycparks,AApQWN,40.8451449724449,-73.8954162597656
van-cortlandt-park-bronx,Van Cortlandt Park,,bronx,,https://www.nycgovparks.org/parks/VanCortlandtPark,nycparks,nycparks,DuY5J,40.8906122660476,-73.8928413391113
westbourne-playground-queens,Westbourne Playground,,queens,,https://www.nycgovparks.org/parks/westbourne-playground,nycparks,nycparks,llFO5R,40.6084451766701,-73.7644800659941
willowbrook-park-staten-island,Willowbrook Park,,staten-island,,https://www.nycgovparks.org/parks/willowbrook-park,nycparks,nycparks,9hjcMa,40.604354109978,-74.1577627774815
woodtree-playground-queens,Woodtree Playground,,queens,,https://www.nycgovparks.org/parks/woodtree-playground,nycparks,nycparks,9vK34y,40.7773448500533,-73.9026352990444
wright-brothers-playground-manhattan,Wright Brothers Playground,,manhattan,,https://www.nycgovparks.org/parks/wright-brothers-playground,nycparks,nycparks,db3dLO,40.835957,-73.94454
